case_id,coil_category,header_type,feed_type,special_feature,pdf_file,json_file,pdf_label,label_family,pdf_value_in,pdf_sources,json_path,json_value,difference_in,status,confidence,mapping_basis,notes
EZC-0001,DX,Header 1,NOT_APPLICABLE,None,CDXC-1.pdf,CDXC-1.txt,O,O,2,pdf_dimension_table,Geometry.O,2.062,0.062,MISMATCH,HIGH,same_name_geometry_check,Same-name Geometry field does not populate this PDF label in the observed drawing.
EZC-0001,DX,Header 1,NOT_APPLICABLE,None,CDXC-1.pdf,CDXC-1.txt,O,O,2,,Geometry.O,2.062,0.062,MISMATCH,HIGH,same_name_focus_check,Focused same-name JSON field is present but does not match the observed PDF value.
EZC-0001,DX,Header 1,NOT_APPLICABLE,None,CDXC-1.pdf,CDXC-1.txt,O2,O,2,pdf_callout,Geometry.O2,0,2,MISMATCH,HIGH,same_name_geometry_check,Same-name Geometry field does not populate this PDF label in the observed drawing.
EZC-0001,DX,Header 1,NOT_APPLICABLE,None,CDXC-1.pdf,CDXC-1.txt,O2,O,2,,Geometry.O2,0,2,MISMATCH,HIGH,same_name_focus_check,Focused same-name JSON field is present but does not match the observed PDF value.
EZC-0001,DX,Header 1,NOT_APPLICABLE,None,CDXC-1.pdf,CDXC-1.txt,OAL,OAL,20.25,pdf_callout;pdf_dimension_table,Geometry.CL + Geometry.RB2,20.25,0,DERIVED_CANDIDATE,MEDIUM,observed_formula,Observed strongly on DX cases.
EZC-0001,DX,Header 1,NOT_APPLICABLE,None,CDXC-1.pdf,CDXC-1.txt,OAL,OAL,20.25,pdf_callout;pdf_dimension_table,Geometry.OAL,0,20.25,MISMATCH,HIGH,same_name_geometry_check,Same-name Geometry field does not populate this PDF label in the observed drawing.
EZC-0001,DX,Header 1,NOT_APPLICABLE,None,CDXC-1.pdf,CDXC-1.txt,OAL,OAL,20.25,,Geometry.OAL,0,20.25,MISMATCH,HIGH,same_name_focus_check,Focused same-name JSON field is present but does not match the observed PDF value.
EZC-0001,DX,Header 1,NOT_APPLICABLE,None,CDXC-1.pdf,CDXC-1.txt,R,R,0.63,pdf_dimension_table,Geometry.R,1.201,0.571,MISMATCH,HIGH,same_name_geometry_check,Same-name Geometry field does not populate this PDF label in the observed drawing.
EZC-0001,DX,Header 1,NOT_APPLICABLE,None,CDXC-1.pdf,CDXC-1.txt,R,R,0.63,,Geometry.R,1.201,0.571,MISMATCH,HIGH,same_name_focus_check,Focused same-name JSON field is present but does not match the observed PDF value.
EZC-0001,DX,Header 1,NOT_APPLICABLE,None,CDXC-1.pdf,CDXC-1.txt,R2,R,0.63,pdf_callout,Geometry.R2,0,0.63,MISMATCH,HIGH,same_name_geometry_check,Same-name Geometry field does not populate this PDF label in the observed drawing.
EZC-0001,DX,Header 1,NOT_APPLICABLE,None,CDXC-1.pdf,CDXC-1.txt,R2,R,0.63,,Geometry.R2,0,0.63,MISMATCH,HIGH,same_name_focus_check,Focused same-name JSON field is present but does not match the observed PDF value.
EZC-0001,DX,Header 1,NOT_APPLICABLE,None,CDXC-1.pdf,CDXC-1.txt,S,S,2.75,pdf_dimension_table,Geometry.S,1.201,1.549,MISMATCH,HIGH,same_name_geometry_check,Same-name Geometry field does not populate this PDF label in the observed drawing.
EZC-0001,DX,Header 1,NOT_APPLICABLE,None,CDXC-1.pdf,CDXC-1.txt,S,S,2.75,,Geometry.S,1.201,1.549,MISMATCH,HIGH,same_name_focus_check,Focused same-name JSON field is present but does not match the observed PDF value.
EZC-0001,DX,Header 1,NOT_APPLICABLE,None,CDXC-1.pdf,CDXC-1.txt,SL,SL,8,pdf_dimension_table,Geometry.SL,4,4,MISMATCH,HIGH,same_name_geometry_check,Same-name Geometry field does not populate this PDF label in the observed drawing.
EZC-0001,DX,Header 1,NOT_APPLICABLE,None,CDXC-1.pdf,CDXC-1.txt,SL2,SL,8,pdf_callout,Geometry.SL2,3,5,MISMATCH,HIGH,same_name_geometry_check,Same-name Geometry field does not populate this PDF label in the observed drawing.
EZC-0001,DX,Header 1,NOT_APPLICABLE,None,CDXC-1.pdf,CDXC-1.txt,SL2,SL,8,,Geometry.SL2,3,5,MISMATCH,HIGH,same_name_focus_check,Focused same-name JSON field is present but does not match the observed PDF value.
EZC-0003,DX,Header 1,NOT_APPLICABLE,None,CDXC-2.pdf,EZC-0003.txt,HD/SL,HD,,,Geometry.SingleFeedExtensionHD,3,,JSON_ONLY,MEDIUM,dimension_like_json_not_seen_in_pdf_labels,"Dimension-like JSON field is present, but the corresponding focused PDF label was not observed."
EZC-0003,DX,Header 1,NOT_APPLICABLE,None,CDXC-2.pdf,EZC-0003.txt,HD2,HD,3.5,pdf_callout,Geometry.HD2,5,1.5,MISMATCH,HIGH,same_name_geometry_check,Same-name Geometry field does not populate this PDF label in the observed drawing.
EZC-0003,DX,Header 1,NOT_APPLICABLE,None,CDXC-2.pdf,EZC-0003.txt,HD2,HD,3.5,,Geometry.HD2,5,1.5,MISMATCH,HIGH,same_name_focus_check,Focused same-name JSON field is present but does not match the observed PDF value.
EZC-0003,DX,Header 1,NOT_APPLICABLE,None,CDXC-2.pdf,EZC-0003.txt,I,I,3,pdf_dimension_table,Geometry.I,0,3,MISMATCH,HIGH,same_name_geometry_check,Same-name Geometry field does not populate this PDF label in the observed drawing.
EZC-0003,DX,Header 1,NOT_APPLICABLE,None,CDXC-2.pdf,EZC-0003.txt,I,I,3,,Geometry.I,0,3,MISMATCH,HIGH,same_name_focus_check,Focused same-name JSON field is present but does not match the observed PDF value.
EZC-0003,DX,Header 1,NOT_APPLICABLE,None,CDXC-2.pdf,EZC-0003.txt,O,O,2,pdf_dimension_table,Geometry.O,3.312,1.312,MISMATCH,HIGH,same_name_geometry_check,Same-name Geometry field does not populate this PDF label in the observed drawing.
EZC-0003,DX,Header 1,NOT_APPLICABLE,None,CDXC-2.pdf,EZC-0003.txt,O,O,2,,Geometry.O,3.312,1.312,MISMATCH,HIGH,same_name_focus_check,Focused same-name JSON field is present but does not match the observed PDF value.
EZC-0003,DX,Header 1,NOT_APPLICABLE,None,CDXC-2.pdf,EZC-0003.txt,O2,O,2,pdf_callout,Geometry.O2,0,2,MISMATCH,HIGH,same_name_geometry_check,Same-name Geometry field does not populate this PDF label in the observed drawing.
EZC-0003,DX,Header 1,NOT_APPLICABLE,None,CDXC-2.pdf,EZC-0003.txt,O2,O,2,,Geometry.O2,0,2,MISMATCH,HIGH,same_name_focus_check,Focused same-name JSON field is present but does not match the observed PDF value.
EZC-0003,DX,Header 1,NOT_APPLICABLE,None,CDXC-2.pdf,EZC-0003.txt,OAL,OAL,40.25,pdf_callout;pdf_dimension_table,Geometry.CL + Geometry.RB2,40.25,0,DERIVED_CANDIDATE,MEDIUM,observed_formula,Observed strongly on DX cases.
EZC-0003,DX,Header 1,NOT_APPLICABLE,None,CDXC-2.pdf,EZC-0003.txt,OAL,OAL,40.25,pdf_callout;pdf_dimension_table,Geometry.OAL,0,40.25,MISMATCH,HIGH,same_name_geometry_check,Same-name Geometry field does not populate this PDF label in the observed drawing.
EZC-0003,DX,Header 1,NOT_APPLICABLE,None,CDXC-2.pdf,EZC-0003.txt,OAL,OAL,40.25,,Geometry.OAL,0,40.25,MISMATCH,HIGH,same_name_focus_check,Focused same-name JSON field is present but does not match the observed PDF value.
EZC-0003,DX,Header 1,NOT_APPLICABLE,None,CDXC-2.pdf,EZC-0003.txt,R,R,1.13,pdf_dimension_table,Geometry.R,0.768,0.362,MISMATCH,HIGH,same_name_geometry_check,Same-name Geometry field does not populate this PDF label in the observed drawing.
EZC-0003,DX,Header 1,NOT_APPLICABLE,None,CDXC-2.pdf,EZC-0003.txt,R,R,1.13,,Geometry.R,0.768,0.362,MISMATCH,HIGH,same_name_focus_check,Focused same-name JSON field is present but does not match the observed PDF value.
EZC-0003,DX,Header 1,NOT_APPLICABLE,None,CDXC-2.pdf,EZC-0003.txt,R2,R,1.13,pdf_callout,Geometry.R2,0,1.13,MISMATCH,HIGH,same_name_geometry_check,Same-name Geometry field does not populate this PDF label in the observed drawing.
EZC-0003,DX,Header 1,NOT_APPLICABLE,None,CDXC-2.pdf,EZC-0003.txt,R2,R,1.13,,Geometry.R2,0,1.13,MISMATCH,HIGH,same_name_focus_check,Focused same-name JSON field is present but does not match the observed PDF value.
EZC-0003,DX,Header 1,NOT_APPLICABLE,None,CDXC-2.pdf,EZC-0003.txt,S,S,3.25,pdf_dimension_table,Geometry.S,0.768,2.482,MISMATCH,HIGH,same_name_geometry_check,Same-name Geometry field does not populate this PDF label in the observed drawing.
EZC-0003,DX,Header 1,NOT_APPLICABLE,None,CDXC-2.pdf,EZC-0003.txt,S,S,3.25,,Geometry.S,0.768,2.482,MISMATCH,HIGH,same_name_focus_check,Focused same-name JSON field is present but does not match the observed PDF value.
EZC-0003,DX,Header 1,NOT_APPLICABLE,None,CDXC-2.pdf,EZC-0003.txt,SL,SL,10,pdf_dimension_table,Geometry.SL,4,6,MISMATCH,HIGH,same_name_geometry_check,Same-name Geometry field does not populate this PDF label in the observed drawing.
